"","id","hhid","prov","male","age","marriage","edu","work","industry","insurance","rural","t_income","total_asset","t_asset","net_asset","fina_asset","risk_aver_a","finknow_int_a","finknow_inf_a","finknow_risk_a"
"143","2013008519_1","2013008519","上海市",0,57,1,4,1,12,1,0,11.4518476154616,5343900,15.4914662814487,15.4914662814487,313500,3,2,2,0
"144","2013008522_1","2013008522","上海市",1,84,0,4,0,0,1,0,11.0771300070542,2620300,14.778799372999,14.778799372999,105000,5,2,1,0
"145","2013008523_2","2013008523","上海市",0,58,1,4,0,0,1,0,13.1140000016715,4814905,15.3872268730093,15.3872268730093,677755,4,1,1,1
"146","2013008525_1","2013008525","上海市",1,83,0,7,0,0,1,0,-11.1814308195618,5035815,15.4320859379672,15.4320859379672,1021800,4,1,2,0
"147","2013008532_1","2013008532","上海市",0,70,1,3,0,0,1,0,11.4760021108656,6136096,15.6296992672784,15.6296992672784,127596,5,2,2,0
"148","2013008534_2","2013008534","上海市",1,73,1,7,0,0,1,0,-12.9562615664573,6494541,15.6864725358437,15.6864725358437,1433941,4,1,1,0
"149","2013008567_1","2013008567","上海市",0,64,0,3,0,0,1,0,11.1902032618732,1593613.5,14.2815146371621,14.2815146371621,178113.53125,4,2,2,0
"150","2013008579_2","2013008579","上海市",1,58,1,4,1,2,1,0,11.303684818825,2099490.75,14.5572053732858,14.5572053732858,277540.6875,4,1,1,0
"151","2013008586_1","2013008586","上海市",0,60,1,4,0,0,1,0,10.2647493727645,323774,12.6878010205224,12.6878010205224,1802,4,2,1,0
"152","2013008591_2","2013008591","上海市",1,71,1,5,0,0,1,0,11.479782246377,2309100,14.6523683961905,14.6523683961905,285000,4,0,1,1
"153","2013008604_1","2013008604","上海市",0,71,1,2,0,0,1,0,10.7248850176856,3197791,14.9779708168946,14.9779708168946,6104,5,2,2,0
"154","2013008640_2","2013008640","上海市",1,71,1,4,0,0,1,0,11.8749378425588,11308314,16.241048765362,16.241048765362,253313,3,1,1,2
"155","2013008642_2","2013008642","上海市",0,62,1,3,0,0,1,0,11.2819324369626,2279404,14.63942456325,14.63942456325,259704,3,1,0,0
"156","2013008646_2","2013008646","上海市",0,44,1,3,1,0,0,0,12.0474827519577,2319000,14.6566466162377,14.6566466162377,264500,5,2,2,2
"157","2013008648_2","2013008648","上海市",1,68,1,3,0,0,1,0,7.67322312112171,2052963,14.5347946734324,14.5347946734324,13963,5,2,0,0
"158","2013008649_1","2013008649","上海市",1,68,1,4,0,0,1,0,11.8827633954352,1522111,14.2356087450993,14.2356087450993,50211,5,1,2,2
"159","2013008653_1","2013008653","上海市",1,61,1,2,1,7777,1,0,11.5417072663957,718565,13.4850114466585,13.4850114466585,17335,3,2,1,1
"160","2013008693_2","2013008693","上海市",1,43,1,7,1,13,1,0,12.6468244566599,3388400,15.0358683915395,15.0358683915395,137400,5,0,1,0
"161","2013008708_1","2013008708","上海市",0,33,1,7,1,13,1,0,12.3846580649802,4360796,15.2881651674689,15.2881651674689,756296,4,1,1,1
"162","2013008723_2","2013008723","上海市",1,61,1,6,1,3,1,0,13.3550294453,6068354,15.6185979565755,15.560938787389,1740354.125,3,1,1,1
"163","2013008724_1","2013008724","上海市",0,54,1,4,0,0,1,0,12.646615280251,5054876,15.4358638799677,15.4358638799677,925376,2,2,2,1
"164","2013008738_1","2013008738","上海市",1,46,1,5,0,0,1,0,11.7418522610402,2946597,14.8961615031323,14.8647914860426,1540597,4,1,1,1
"165","2013008751_1","2013008751","上海市",0,78,0,2,0,0,1,0,5.01063529409626,1522280,14.2357197689462,14.2357197689462,11000,5,1,0,0
"166","2013008755_2","2013008755","上海市",1,63,1,4,0,0,1,0,11.5203974798089,1085700,13.8977354982199,13.8977354982199,63500,5,2,0,0
"167","2013008758_1","2013008758","上海市",1,77,1,6,0,0,1,0,11.3328278396564,576290,13.2643662852006,13.2643662852006,182390,4,1,1,1
"168","2013008760_1","2013008760","上海市",1,76,1,3,0,0,1,0,11.5302741033048,2273831,14.6369766321492,14.6369766321492,167000,5,1,2,2
"169","2013008769_1","2013008769","上海市",1,60,1,4,0,0,1,0,11.5095698411569,2646846.75,14.7888795838022,14.7888795838022,604846.8125,5,1,1,0
"170","2013008780_3","2013008780","上海市",0,60,1,3,0,0,1,0,12.1819186632431,3920516,15.1817338357569,15.1817338357569,164516,3,2,2,2
