"","id","hhid","prov","male","age","marriage","edu","edu_p","health","work","industry","insurance","rural","total_income","t_income","total_asset","t_asset","nasset","net_asset","fina_asset","house_asset","risk_aver","finknow","finknow_int","finknow_inf","finknow_risk","finance_inf","ind_business","house","numhouse","cash","current_dep","time_dep","stock","stock_a","bond","bond_a","fund","fund_a","inter_fin","inter_fin_a","fin_planning","fin_planning_a","derivative","der_a","golden","golden_a","nonrmb","nonrmb_a","riskasset","pro_stock","fin_market","pro_fin_market","t_income2","age2"
"34","2013008000_2","2013008000","上海市",1,64,1,4,4,3,0,0,1,0,207405,12.2424286824908,10934100,16.2073969041791,10934100,16.2073969041791,3591000,7e+06,5,2,0,1,1,2,0,1,1,5000,30000,1500000,1,50000,0,0,0,0,1,0,1,1500000,0,0,0,0,0,0,1550000,0.0139,1,0.4316,149.877060045874,4096
"35","2013008001_1","2013008001","上海市",0,42,1,7,7,3,1,4,1,0,1707582,14.3505888927001,16072002,16.5925893099169,16072002,16.5925893099169,2743002,1.3e+07,2,3,1,1,1,4,0,1,2,0,0,0,1,0,0,0,0,0,1,50000,1,2e+06,0,0,0,0,1,4e+05,2450000,0,1,0.8932,205.939401567286,1764
"36","2013008002_1","2013008002","上海市",1,72,1,7,7,3,0,0,1,0,193775,12.1744529711497,6817206,15.7349602684596,6817206,15.7349602684596,453006,6320000,3,3,1,1,1,3,0,1,1,2000,50000,0,0,0,0,0,0,0,1,6,1,4e+05,0,0,0,0,0,0,400006,0,1,0.883,148.217305146736,5184
"37","2013008011_1","2013008011","上海市",0,31,0,5,5,3,1,12,1,0,308940,12.6409023622682,4389427,15.2947092526144,4389427,15.2947092526144,689927.0625,3600000,3,1,0,1,0,2,0,1,1,5000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,159.792412532399,961
"38","2013008014_2","2013008014","上海市",0,64,1,6,6,4,0,0,1,0,302850,12.6209929124091,13116726,16.3893987676563,13116726,16.3893987676563,1097825.75,1.2e+07,5,1,1,0,0,1,0,1,2,50000,5e+05,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.289462095081,4096
"39","2013008017_2","2013008017","上海市",1,88,1,4,4,3,0,0,1,0,92000,11.4295438560312,6024083,15.6112758265874,6024083,15.6112758265874,23433,6e+06,5,2,1,1,0,1,0,1,1,5000,0,0,1,18433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18433,0.7866,1,0.7866,130.63447275694,7744
"40","2013008018_1","2013008018","上海市",0,59,1,3,3,3,0,0,1,0,120000,11.6952470217642,653183.5625,13.3896134751874,653183.5625,13.3896134751874,454183.5625,0,3,1,0,1,0,1,0,0,1,1000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,136.778802900084,3481
"41","2013008024_3","2013008024","上海市",1,36,0,7,7,3,1,2,1,0,461318,13.0418428889451,8283319.5,15.9297543518173,8283319.5,15.9297543518173,566319.625,7600000,3,2,1,1,0,4,0,1,3,2000,30000,0,0,0,0,0,1,30000,1,56,1,2e+05,0,0,0,0,0,0,230056,0,1,0.4062,170.089665939927,1296
"42","2013008026_1","2013008026","上海市",0,70,1,7,7,3,0,0,1,0,175424.5,12.0749640298955,6296568,15.6555152810203,6296568,15.6555152810203,276567.90625,6e+06,5,1,0,1,0,4,0,1,1,2000,7000,2e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,145.804756323271,4900
"43","2013008040_1","2013008040","上海市",0,81,1,5,5,2,0,0,1,0,124734,11.7339387488752,5675900,15.551739699066,5675900,15.551739699066,160000,5500000,5,1,1,0,0,3,0,1,1,10000,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.685318562354,6561
"44","2013008041_1","2013008041","上海市",1,66,1,7,7,3,0,0,1,0,81271,11.305544528335,5425339.5,15.5065910360779,5425339.5,15.5065910360779,421539.375,5e+06,5,2,1,1,0,3,0,1,1,15000,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,127.815337082166,4356
"45","2013008044_1","2013008044","上海市",0,80,0,3,3,4,0,0,1,0,47457.9375,10.7675990713969,4160368,15.2411140898634,4160368,15.2411140898634,156268,4e+06,5,1,0,1,0,2,0,1,1,3000,2268,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.941189762347,6400
"46","2013008046_2","2013008046","上海市",0,78,1,5,5,3,0,0,1,0,163536,12.0047884285689,3388500,15.0358979035583,3388500,15.0358979035583,375000,3e+06,5,1,0,0,1,2,0,1,1,5000,20000,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.114945214701,6084
"47","2013008049_2","2013008049","上海市",1,86,1,7,7,3,0,0,1,0,149026.578125,11.9118799456982,14530841,16.4917839141192,14530841,16.4917839141192,976641,13500000,4,2,1,1,0,3,0,1,3,2500,2500,409122,1,81187,0,0,1,24000,1,0,1,4e+05,0,0,1,50000,0,0,555187,0.0831,1,0.5685,141.892883840727,7396
"48","2013008050_2","2013008050","上海市",0,55,1,4,4,5,0,0,1,0,168519,12.0348037820616,2459210,14.7153507181212,2459210,14.7153507181212,59205,2400000,5,1,0,1,0,5,0,1,1,1000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.836502072724,3025
"49","2013008071_1","2013008071","上海市",1,35,1,7,7,2,1,2,1,0,313158,12.6544631344898,6209595,15.6416062343916,5159595,15.4563686460053,609995,5500000,4,2,1,1,0,2,0,1,2,20000,3e+05,0,0,0,0,0,0,0,1,0,1,132361,0,0,0,0,0,0,132361,0,1,0.217,160.135437222161,1225
"50","2013008075_1","2013008075","上海市",1,75,1,3,3,2,0,0,1,0,72000,11.1844213979982,1977906,14.4975492672853,1977906,14.4975492672853,0,1974886,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.091282008,5625
"51","2013008082_1","2013008082","上海市",1,49,0,5,5,3,1,2,1,0,69280,11.1459115432363,3948283,15.1887913588307,3948283,15.1887913588307,244933,3600000,5,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,124.231344129649,2401
"52","2013008083_1","2013008083","上海市",1,59,1,4,4,3,1,10,1,0,36316.07421875,10.5000157381824,348746.0625,12.7620993217314,348746.0625,12.7620993217314,340146.0625,0,5,1,0,0,1,2,0,0,1,5000,9164,0,1,0,0,0,0,0,1,0,1,700,0,0,0,0,0,0,700,0,1,0.0021,110.250330502079,3481
"53","2013008094_1","2013008094","上海市",0,72,1,3,3,4,0,0,1,0,109000,11.5991031612113,280500,12.5443290039449,276500,12.5299660999445,253000,0,4,2,0,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,150000,0,0,0,0,0,0,150000,0,1,0.5929,134.539194144422,5184
"54","2013008097_1","2013008097","上海市",1,59,1,7,7,4,0,0,1,0,5228,8.56178407474411,9000808,16.0128249090485,9000808,16.0128249090485,998928,8e+06,5,1,0,1,0,2,0,1,2,150000,8000,0,1,2e+05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2e+05,0.2002,1,0.2002,73.3041465425419,3481
"55","2013008102_1","2013008102","上海市",0,69,1,6,6,4,0,0,1,0,217575,12.2902988976577,9142654,16.0284612732718,9142654,16.0284612732718,540054,8600000,4,2,0,1,1,2,0,1,2,2000,450000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,151.051446993766,4761
"56","2013008111_1","2013008111","上海市",0,41,1,8,8,5,1,11,1,0,35670,10.4820652783529,12555076,16.3456356039207,12055076,16.3049963740155,4990526,7300000,4,3,1,1,1,4,0,1,1,10000,20000,0,1,0,0,0,1,50000,1,0,1,2e+06,0,0,0,0,0,0,2050000,0,1,0.4108,109.873692499652,1681
"57","2013008127_1","2013008127","上海市",1,64,1,4,4,3,0,0,1,0,112280.609375,11.6287564577411,5552386.5,15.5297383932991,5552386.5,15.5297383932991,480686.3125,5e+06,4,3,1,1,1,4,0,1,1,1500,80173,0,0,0,0,0,0,0,0,0,1,1e+05,0,0,0,0,0,0,1e+05,0,1,0.208,135.227976753455,4096
"58","2013008134_2","2013008134","上海市",1,45,1,5,5,3,0,0,1,0,39012.75,10.571643794761,4068855,15.2188721910576,4068855,15.2188721910576,39555,4e+06,4,2,1,1,0,2,0,1,1,2000,500,0,0,0,0,0,0,0,1,30000,0,0,0,0,0,0,0,0,30000,0,1,0.7584,111.759652523309,2025
"59","2013008143_3","2013008143","上海市",0,61,1,4,4,5,0,0,1,0,176429,12.0806738081357,3254847,14.9956558279118,3254847,14.9956558279118,546437,2666110,3,1,0,1,0,3,0,1,1,0,0,20000,1,0,0,0,0,0,1,0,1,2e+05,0,0,0,0,0,0,2e+05,0,1,0.366,145.942679658577,3721
"60","2013008148_1","2013008148","上海市",1,66,1,6,6,4,0,0,1,0,211074.5,12.2599664307086,4215101,15.2541841111713,4215101,15.2541841111713,1148101,3e+06,3,0,0,0,0,1,0,1,1,10000,5000,6e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,150.306776882103,4356
"61","2013008152_1","2013008152","上海市",0,48,1,4,4,3,1,6,1,0,137800,11.8335586375617,4162405,15.2416035901876,4162405,15.2416035901876,582665,3500000,4,0,0,0,0,1,0,1,1,1000,0,0,0,0,0,0,0,0,1,12500,0,0,0,0,0,0,0,0,12500,0,1,0.0215,140.033110028611,2304
